Unnamed,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0,0.00632,18,-2.31,,0.538,,65.2,4.09,1,,15.3,,4.98,24
1,0.02731,0,7.07,Other,,,78.9,4.9671,2,242,17.8,,,21.6
2,,0,7.07,Other,0.469,7.185,61.1,4.9671,2,,,,,34.7
3,0.03237,0,2.18,Other,,6.998,45.8,6.0622,3,222',,394.63,,33.4
4,0.06905,0,2.18,Other,,7.147,,6.0622,,222',,,,36.2
5,0.02985,0,2.18,,,,,6.0622,,222',,394.12,,28.7
6,0.08829,12.5,7.87,Other,0.524,6.012,66.6,5.5605,5,311,,,12.43,22.9
7,0.14455,12.5,7.87,Other,0.524,6.172,,5.9505,,311,15.2,396.9,19.15,27.1
8,0.21124,12.5,7.87,Other,0.524,,,6.0821,,311,15.2,386.63,29.93,16.5
9,,12.5,7.87,,0.524,6.004,85.9,,,311,15.2,,17.1,18.9
10,0.22489,12.5,7.87,Other,,6.377,94.3,6.3467,,311,,392.52,,15
11,0.11747,12.5,7.87,Other,,6.009,82.9,6.2267,5,311,,,13.27,18.9
12,0.09378,12.5,7.87,,0.524,5.889,,5.4509,5,311,15.2,390.5,,21.7
13,0.62976,0,8.14,Other,,5.949,,4.7075,4,,,396.9,8.26,20.4
14,0.63796,0,8.14,Other,0.538,6.096,84.5,,4,307,21,380.02,,18.2
15,0.62739,,8.14,,,,,4.4986,4,307,,395.62,8.47,19.9
16,1.05393,0,8.14,Other,,5.935,,,4,,21,386.85,6.58,23.1
17,0.7842,0,8.14,Other,0.538,5.99,81.7,,,307,21,386.75,,17.5
18,0.80271,0,8.14,Other,0.538,5.456,36.6,3.7965,4,307,,,11.69,20.2
19,0.7258,0,8.14,Other,,5.727,,3.7965,4,307,,390.95,11.28,18.2
20,1.25179,0,8.14,Other,0.538,,98.1,3.7979,4,307,,376.57,21.02,13.6
21,0.85204,0,8.14,Other,,,,4.0123,,307,,392.53,13.83,19.6
22,1.23247,0,8.14,Other,0.538,,91.7,,,307,21,396.9,18.72,15.2
23,0.98843,0,8.14,Other,0.538,5.813,100,4.0952,4,307,,394.54,,14.5
24,0.75026,0,8.14,Other,,,94.1,4.3996,4,307,21,394.33,16.3,15.6
25,0.84054,0,8.14,Other,0.538,5.599,,,4,,21,303.42,16.51,13.9
26,0.67191,,8.14,Other,0.538,,90.3,4.682,4,,,376.88,,16.6
27,0.95577,0,8.14,,,6.047,88.8,4.4534,4,,21,306.38,17.28,14.8
28,0.77299,0,8.14,Other,0.538,6.495,,4.4547,4,307,,,,18.4
29,1.00245,0,8.14,,0.538,,87.3,-4.239,4,307,21,380.23,11.98,21
30,,0,8.14,Other,0.538,5.713,,4.233,,307,21,,22.6,12.7
31,1.35472,0,8.14,Other,0.538,6.072,100,4.175,4,,21,376.73,13.04,14.5
32,1.38799,0,8.14,Other,,5.95,,3.99,,,,232.6,,13.2
33,1.15172,0,8.14,Other,,5.701,95,3.7872,4,,21,358.77,,13.1
34,1.61282,0,8.14,Other,0.538,6.096,96.9,,,307,,248.31,,13.5
35,0.06417,0,5.96,Other,,5.933,68.2,,,279,19.2,,,18.9
36,0.09744,0,5.96,Other,,5.841,61.4,3.3779,,,19.2,,11.41,20
37,0.08014,0,5.96,Other,0.499,,41.5,,5,279,19.2,396.9,8.77,21
38,0.17505,0,5.96,Other,,5.966,30.2,,,279,19.2,393.43,10.13,24.7
39,0.02763,75,2.95,Other,,,21.8,,3,252,18.3,395.63,,30.8
40,0.03359,75,2.95,Other,0.428,7.024,15.8,5.4011,,,,395.62,,34.9
41,0.12744,0,6.91,Other,0.448,6.77,2.9,5.7209,3,,,,4.84,26.6
42,0.1415,0,6.91,,0.448,,6.6,5.7209,,,17.9,383.37,5.81,25.3
43,0.15936,0,6.91,Other,0.448,,6.5,5.7209,3,233,,394.46,7.44,24.7
44,0.12269,0,6.91,,0.448,6.069,40,5.7209,,233,17.9,,9.55,21.2
45,0.17142,0,6.91,Other,0.448,,33.8,5.1004,3,,17.9,396.9,10.21,19.3
46,0.18836,0,6.91,Other,0.448,,33.3,5.1004,3,233,17.9,396.9,14.15,20
47,0.22927,0,6.91,,,6.03,85.5,,3,,17.9,392.74,,16.6
48,0.25387,,6.91,Other,0.448,5.399,95.3,5.87,,233,17.9,396.9,,14.4
49,0.21977,0,6.91,,,5.602,,6.0877,3,,17.9,,16.2,19.4
50,0.08873,21,5.64,Other,0.439,5.963,45.7,6.8147,,,,,13.45,19.7
51,0.04337,21,5.64,,0.439,6.115,,6.8147,,243,16.8,,9.43,20.5
52,0.0536,21,5.64,Other,0.439,,21.1,6.8147,4,,16.8,,,25
53,0.04981,21,5.64,Other,0.439,5.998,,6.8147,,243,16.8,396.9,8.43,23.4
54,0.0136,75,4,Other,,5.888,47.6,7.3197,3,469,,,14.8,18.9
